Model,Response_Variable,R_squared,Adjusted_R_squared,AIC,BIC
Model 8: Box Score + Age + Position,Salary_2025,0.6485211879045589,0.6433599718679153,23875.81859070761,23925.754036219405
Model 5: Offensive Production,Salary_2025,0.5766639217362861,0.5723315349704294,23998.54231592151,24034.859003566453
Model 4: Box Score,Salary_2025,0.5729493841233133,0.56983677030497,24000.58774535764,24027.825261091344
Model 1: Points Only,Salary_2025,0.5626316336887367,0.5619977664911842,24009.10802672202,24018.187198633255
Model 9: Log Salary + Box Score + Age + Position,Log_Salary_2025,0.4289217095034148,0.4205358315225546,2180.844179568051,2230.7796250798456
Model 2: Assists Only,Salary_2025,0.34795162290019077,0.34700662525222004,24285.453364493136,24294.53253640437
Model 6: Defense/Rebounding,Salary_2025,0.2906119725968027,0.28751871084940517,24347.777828789298,24365.936172611768
Model 3: Rebounds Only,Salary_2025,0.15422205015801127,0.15299628501331286,24465.468927851634,24474.54809976287
Model 7: Efficiency Only,Salary_2025,0.05838443592271825,0.05227995900811666,22092.72873785451,22114.893438318206
